dataset,modelo,tipo_feature,config,mae,mape,mse,rmse
saugeenday_dataset,knn,lags,n=14,10.782666666666668,18.730388553913883,267.24895999999995,16.347750915645857
saugeenday_dataset,xgboost,lags,n=14,7.637007484436036,11.729220289535892,236.4375735084817,15.376526704964347
saugeenday_dataset,random_forest,lags,n=14,9.16883968352253,14.632585370744138,301.9788659569187,17.37753912258346
saugeenday_dataset,linear_regression,lags,n=30,8.503586765965226,12.473160498228204,294.138301225847,17.15046067095129
saugeenday_dataset,knn,lags,n=30,17.55066666666666,26.996317412058918,856.0072800000002,29.25760208902979
saugeenday_dataset,xgboost,lags,n=30,7.353077023824056,11.923763492920395,185.92225599472374,13.635331165568504
saugeenday_dataset,random_forest,lags,n=30,9.430893333333334,15.306002507377015,334.3079595946667,18.284090340912964
saugeenday_dataset,linear_regression,intervalo,w=7,21.71050021635797,41.33795003226417,1042.4878841763925,32.287580958882515
saugeenday_dataset,knn,intervalo,w=7,18.327999999999996,40.11666702347314,658.6582133333334,25.66433738348476
saugeenday_dataset,xgboost,intervalo,w=7,15.677348467508953,33.070876756475215,478.9098184914082,21.884008282108837
saugeenday_dataset,random_forest,intervalo,w=7,16.274267186932857,38.402551908062,463.924554896899,21.538907931854368
saugeenday_dataset,linear_regression,intervalo,w=14,21.577838691014474,38.79454613518804,1166.6633711167965,34.156454311254215
saugeenday_dataset,knn,intervalo,w=14,17.865333333333336,38.30811054508125,612.74,24.753585598858198
saugeenday_dataset,xgboost,intervalo,w=14,19.40545598347982,38.618621885366515,799.1521961837498,28.269280078978838
saugeenday_dataset,random_forest,intervalo,w=14,21.90838888888889,45.37768368482798,979.6075356481475,31.29868265036322
saugeenday_dataset,linear_regression,intervalo,w=30,19.914312182509875,34.300220180985406,1260.7244639826297,35.50668196245081
saugeenday_dataset,knn,intervalo,w=30,22.437999999999995,29.873744025450133,1683.8778266666666,41.03508043938341
saugeenday_dataset,xgboost,intervalo,w=30,22.006107737223306,35.057578799777275,1570.9500871026587,39.63521271675805
saugeenday_dataset,random_forest,intervalo,w=30,21.55642388888889,32.05369291782577,1535.3293748286576,39.18327927609757
sunspot_dataset_without_missing_values,linear_regression,lags,n=7,3.356847292864766,63.68549373302628,11.938622028773407,3.4552311107613924
sunspot_dataset_without_missing_values,knn,lags,n=7,11.879999999999995,620.0,163.63733333333332,12.792080883630048
sunspot_dataset_without_missing_values,xgboost,lags,n=7,2.367761731147766,9.597563743591309,6.092693581526208,2.468338222676586
sunspot_dataset_without_missing_values,random_forest,lags,n=7,2.2330940752679775,5.486633149211572,6.819117393005201,2.6113439821297386
sunspot_dataset_without_missing_values,linear_regression,lags,n=14,2.425740243012949,12.1865975054682,6.8623426981287645,2.619607355717411
sunspot_dataset_without_missing_values,knn,lags,n=14,9.486666666666668,730.0000000000001,148.04666666666668,12.16744289761274
sunspot_dataset_without_missing_values,xgboost,lags,n=14,2.0725003361701964,5.207657814025879,4.57590294367948,2.139136027390376
sunspot_dataset_without_missing_values,random_forest,lags,n=14,1.9787499142824265,19.968395856876732,5.006074667330805,2.2374259020872187
sunspot_dataset_without_missing_values,knn,lags,n=30,2.0533333333333332,30.000000000000004,10.178666666666665,3.1904022734863178
sunspot_dataset_without_missing_values,linear_regression,lags,n=30,1.5875519829554583,41.60358485188508,3.265166023584633,1.806977040137653
sunspot_dataset_without_missing_values,xgboost,lags,n=30,1.7544713894526163,31.67964220046997,3.2784134679381065,1.8106389667567928
sunspot_dataset_without_missing_values,random_forest,lags,n=30,1.845212387178723,96.31858076808393,6.243013586682372,2.4986023266383093
sunspot_dataset_without_missing_values,linear_regression,intervalo,w=7,4.914547612004496,5.037878512063543,56.65258980057729,7.526791467855164
sunspot_dataset_without_missing_values,knn,intervalo,w=7,2.2733333333333334,100.0,29.24666666666667,5.408018737640123
sunspot_dataset_without_missing_values,xgboost,intervalo,w=7,4.427205499013265,6.379330158233643,44.09090660712203,6.6400983883615785
